phrasalVerb,example
set up,a trust fund that set her up for life
set upon,Girls in the gang calmly watched as he was set upon by about 20 male youths.
set upon,He was set upon by three men who stole his laptop as he held it up to film the scene with a webcam.
set upon,The Pearl Jam bass player and a friend were set upon by three masked men outside a recording studio.
set upon,This was an horrendous crime on a man of 24 just walking home with his girlfriend when he was set upon by those three drunken yobs.
settle down,Are you ever going to settle down and get married?
settle down,"For two weeks, he can't have enough of her and then things settle down to a more usual pace."
settle down,I settled down in front of the television for the evening.
settle down,I'd told him I was going to settle down with the TV then have an early night.
settle down,"If he'd but settle down, why Thorney was saying he'd settle all the Westward Meadows on the lad."
settle down,"Now she sat on her bunk, hands folded, waiting patiently for Bauman to settle down."
settle down,She took a seat and settled down to wait.
settle down,The kids will settle down after they’ve had a nap.
settle for,Apply it to the hair and leave to settle for ten to 15 minutes.
settle for,Injuries and illness forced the team to settle for third place.
settle for,Why settle for second best when you can have something better?
settle in,"It took the young men half an hour to settle in, unpack, make a few telephone calls."
settle in,"She handed him over, or rather he handed himself over, while Iris was helping me to settle in."
settle in,She seems to have settled in quickly at her new company.
settle in,The land gradually changed as people began to settle in the middle reaches of the Sao Francisco valley during the seventeenth century.
settle in,We found our seats and settled in for the journey.
settle into,How are you settling into your new home?
settle into,We settled into our tent.
settle on,He settled the remainder of his estate on his three grandchildren.
settle on,The band has yet to settle on a name.
settle up,"D'or grinned wickedly at DeDe, who said: `Well, you two can settle up."
settle up,I’ll pay – we can settle up later.
settle up,Let’s settle up with the waiter and get out of here.
sew up,As part of their winding-up operation they're sending two detectives to sew up this end of things.
